City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Vozhega,RU,60.4725,40.2213,-2.58,93,84,4.74,broken clouds
262,Talnakh,RU,69.4865,88.3972,-14.55,72,99,7.07,overcast clouds
263,Khuzhir,RU,53.1939,107.3397,3.06,91,100,9.93,overcast clouds
264,Arraial Do Cabo,BR,-22.9661,-42.0278,89.6,51,0,19.57,clear sky
265,Narsaq,GL,60.9167,-46.05,26.6,74,90,2.3,light snow
266,Pathein,MM,16.7833,94.7333,66.15,84,11,7.18,few clouds
267,Guerrero Negro,MX,27.9769,-114.0611,70.95,30,0,1.21,clear sky
268,Tagusao,PH,9.1924,117.8141,76.59,89,100,6.2,very heavy rain
269,Baneh,IR,35.9975,45.8853,35.89,87,89,9.55,light rain
270,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.8,45,0,18.41,clear sky
271,Rio Grande,BR,-32.035,-52.0986,80.6,74,75,6.91,broken clouds
272,Gboko,NG,7.3179,8.9951,87.3,13,18,3.69,few clouds
273,Boa Vista,BR,2.8197,-60.6733,87.8,48,75,13.8,broken clouds
274,Kirovskiy,RU,45.0917,133.5136,-8.7,88,58,6.42,snow
275,Mbanza-Ngungu,CD,-5.25,14.8667,70.93,88,97,1.97,light rain
276,Bonanza,NI,14.0289,-84.591,83.93,54,100,4.92,overcast clouds
277,Kurilsk,RU,45.2333,147.8833,13.57,89,97,6.42,overcast clouds
278,Lokosovo,RU,61.1333,74.8167,-3.46,92,100,7.47,overcast clouds
279,Russell,US,32.3502,-85.1999,51.01,40,90,5.75,overcast clouds
280,Tuatapere,NZ,-46.1333,167.6833,45.77,79,50,7.25,scattered clouds
281,Ous,RU,60.9058,61.5186,-13.29,89,94,4.9,overcast clouds
282,Nhulunbuy,AU,-12.2333,136.7667,80.6,89,75,6.91,light rain
283,Wollongong,AU,-34.4333,150.8833,62.01,89,81,1.01,broken clouds
284,Hofn,IS,64.2539,-15.2082,39.2,60,75,20.71,light rain
285,Kloulklubed,PW,7.0419,134.2556,75.2,100,90,5.75,overcast clouds
286,Port Moresby,PG,-9.4431,147.1797,78.8,94,20,4.61,few clouds
287,Tutoia,BR,-2.7619,-42.2744,82.4,78,75,13.8,broken clouds
288,Viransehir,TR,37.2353,39.7631,45.19,95,100,10.89,light rain
289,Gondanglegi,ID,-7.7479,112.0132,74.86,90,100,3.53,light rain
290,Ozernovskiy,RU,51.5,156.5167,22.82,92,100,38.43,overcast clouds
291,Dickinson,US,29.4608,-95.0513,64.0,27,1,8.05,clear sky
292,Norman Wells,CA,65.282,-126.8329,-14.8,76,75,3.44,broken clouds
293,Irsha,RU,55.9269,94.7911,19.62,96,100,14.85,light snow
294,Antofagasta,CL,-23.65,-70.4,73.99,64,20,13.8,few clouds
295,Kapoeta,SS,4.7717,33.5903,83.93,38,85,11.41,overcast clouds
296,Faribault,US,44.295,-93.2688,21.99,93,1,3.44,clear sky
297,Severobaykalsk,RU,55.65,109.3167,-20.9,77,60,4.0,broken clouds
298,Yuci,CN,37.6803,112.7319,26.6,26,0,8.95,clear sky
299,Akyab,MM,20.15,92.9,65.39,70,0,4.12,clear sky
300,Pangody,RU,65.85,74.4859,-11.04,90,100,14.14,light snow
301,Zavyalovo,RU,54.5053,82.4484,17.6,86,90,15.66,overcast clouds
302,Namatanai,PG,-3.6667,152.4333,79.83,81,50,10.16,light rain
303,Villas,US,26.5504,-81.8687,63.0,63,90,4.61,overcast clouds
304,Kieta,PG,-6.2167,155.6333,79.68,81,71,5.66,light rain
305,Kostelec Na Hane,CZ,49.514,17.0582,16.0,83,90,0.6,overcast clouds
306,Staryy Nadym,RU,65.6118,72.6842,-12.23,89,100,14.38,light snow
307,Bettiah,IN,26.8,84.5,58.24,64,0,1.5,clear sky
308,Surt,LY,31.2089,16.5887,58.1,67,8,17.02,clear sky
309,Pangnirtung,CA,66.1451,-65.7125,-5.8,77,40,2.3,scattered clouds
310,Kirakira,SB,-10.4544,161.9205,80.78,82,68,8.05,broken clouds
311,Isetskoye,RU,56.4858,65.3226,7.59,92,96,14.58,overcast clouds
312,Ryotsu,JP,38.0833,138.4333,31.24,94,99,2.19,light snow
313,Dutlwe,BW,-23.9833,23.9,87.44,29,97,2.46,overcast clouds
314,Lasa,IT,46.6166,10.7002,32.0,74,90,8.05,overcast clouds
315,Redmond,US,47.674,-122.1215,46.99,82,94,2.42,overcast clouds
316,Lebyazhye,RU,55.2689,66.4947,6.6,90,83,16.24,broken clouds
317,Saint-Philippe,RE,-21.3585,55.7679,82.4,78,20,5.75,few clouds
318,Acarau,BR,-2.8856,-40.12,87.12,59,37,17.02,scattered clouds
319,Cururupu,BR,-1.8283,-44.8683,88.29,57,38,7.34,scattered clouds
320,Pahrump,US,36.2083,-115.9839,57.0,24,1,14.97,clear sky
321,Erenhot,CN,43.6475,111.9767,2.77,88,0,9.04,clear sky
322,Santa Cruz,BO,-17.8,-63.1667,68.0,100,90,17.27,heavy intensity rain
323,Xuanzhou,CN,30.9525,118.7553,34.2,79,0,3.98,clear sky
324,Kavieng,PG,-2.5744,150.7967,83.16,74,83,17.49,broken clouds
325,Tura,IN,25.5198,90.2201,60.21,62,0,3.83,clear sky
326,Herat,AF,34.5,62.0,51.8,19,0,6.91,clear sky
327,Harper,LR,4.375,-7.7169,80.89,77,8,6.06,clear sky
328,Grand Gaube,MU,-20.0064,57.6608,81.0,79,91,10.0,overcast clouds
329,Santa Rosa,PH,14.3122,121.1114,78.8,73,75,4.61,moderate rain
330,Disraeli,CA,45.9001,-71.3491,30.0,88,100,8.99,light snow
331,Skerries,IE,53.5828,-6.1083,44.01,81,75,8.05,moderate rain
332,Husavik,IS,66.0449,-17.3389,32.0,93,90,3.44,snow
333,Pevek,RU,69.7008,170.3133,-28.39,86,7,2.57,clear sky
334,Kota Kinabalu,MY,5.9749,116.0724,71.6,94,40,6.91,light rain
335,Osorio,BR,-29.8867,-50.2697,81.0,86,94,4.18,overcast clouds
336,Praia,CV,14.9215,-23.5087,78.8,53,1,19.57,clear sky
337,Prainha,BR,-1.8,-53.48,92.39,42,47,2.1,scattered clouds
338,Sar-E Pul,AF,35.8333,66.1667,41.14,54,66,14.56,broken clouds
339,Geraldton,AU,-28.7667,114.6,84.2,48,89,5.75,overcast clouds
340,Itoman,JP,26.1247,127.6694,59.0,63,40,16.11,scattered clouds
341,Weyburn,CA,49.6668,-103.8511,17.6,86,99,4.61,overcast clouds
342,Thunder Bay,CA,48.4001,-89.3168,21.0,67,20,4.61,few clouds
343,Conceicao Do Araguaia,BR,-8.2578,-49.2647,90.01,56,54,2.21,broken clouds
344,Soe,ID,-9.8607,124.284,66.81,98,100,2.93,overcast clouds
345,Camopi,GF,3.1655,-52.3158,73.06,98,100,1.39,heavy intensity rain
346,Kruisfontein,ZA,-34.0033,24.7314,70.0,77,52,4.0,broken clouds
